,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
10233,3420349,2026-04-16 00:43:08.898822+00:00,4,4,duplex,Lekki,Lekki Phase 1,True,True,True,True,False,0,60000000.0
10234,3420345,2026-04-16 00:43:08.901452+00:00,2,2,flat,Lekki,Ikate,False,True,True,True,False,1,22000000.0
10235,3420342,2026-04-16 00:43:08.904558+00:00,3,3,flat,Ikoyi,Banana Island,False,True,False,True,False,3,55000000.0
10236,3420339,2026-04-16 00:43:08.907261+00:00,3,3,Maisonette,Victoria Island (VI),1004 Estate,False,True,True,True,False,0,22000000.0
10237,3420310,2026-04-16 00:43:26.767426+00:00,3,3,flat,Victoria Island (VI),Victoria Island,False,True,False,False,False,1,40000000.0
10238,3420302,2026-04-16 00:43:26.769068+00:00,2,2,flat,Lekki,View Estate,False,False,True,True,True,0,4000000.0
10239,3420296,2026-04-16 00:43:26.770674+00:00,5,5,duplex,Lekki,Lekk,True,False,False,False,False,0,13000000.0
10240,3420274,2026-04-16 00:43:26.772724+00:00,2,1,flat,Lekki,Ikota,False,False,False,True,True,0,4400000.0
10241,3420272,2026-04-16 00:43:26.774300+00:00,2,2,flat,Lekki,Vgc,False,False,False,False,True,0,6000000.0
10242,3420193,2026-04-16 00:43:26.778679+00:00,2,2,flat,Lekki,Ikota,False,False,True,True,True,0,4500000.0
10243,3417868,2026-04-16 00:43:26.780307+00:00,1,1,studio,Lekki,Osapa,False,False,False,False,True,0,3000000.0
10244,3420173,2026-04-16 00:43:26.785435+00:00,3,3,flat,Victoria Island (VI),Oniru,False,False,False,False,True,3,20000000.0
10245,3420165,2026-04-16 00:43:26.786961+00:00,4,4,terrace,Lekki,Jakande,True,False,False,False,True,2,14000000.0
10246,3420150,2026-04-16 00:43:26.789980+00:00,3,3,flat,Ajah,Ado,False,False,True,True,False,0,1500000.0
10247,3420102,2026-04-16 00:43:26.793559+00:00,2,2,flat,Lekki,Lekki Phase 1,False,True,True,True,True,0,15000000.0
10248,3420098,2026-04-16 00:43:26.795072+00:00,4,4,duplex,Lekki,Ologolo,True,False,False,False,False,0,15000000.0
10249,3420085,2026-04-16 00:43:26.798259+00:00,1,1,flat,Lekki,Ikota,False,True,False,True,False,0,1300000.0
10250,3420081,2026-04-16 00:43:26.800966+00:00,1,1,flat,Lekki,Ikota,False,True,False,True,False,0,3000000.0
10251,3420079,2026-04-16 00:43:26.802554+00:00,1,1,flat,Lekki,Ikota,False,True,False,True,False,0,2000000.0
10252,3420039,2026-04-16 00:43:44.752175+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,False,1,10000000.0
10253,3420066,2026-04-16 00:43:44.744204+00:00,3,3,flat,Lekki,Ikate,False,True,False,True,True,0,15000000.0
10254,3420055,2026-04-16 00:43:44.745803+00:00,3,3,flat,Ikoyi,Banana Island,False,True,False,True,True,1,60000000.0
10255,3420053,2026-04-16 00:43:44.747403+00:00,3,3,flat,Victoria Island (VI),Oniru,False,True,False,False,True,2,30000000.0
10256,3420046,2026-04-16 00:43:44.749077+00:00,3,3,penthouse,Lekki,Ologolo,False,False,False,False,True,0,13000000.0
10257,3420043,2026-04-16 00:43:44.750631+00:00,3,3,Maisonette,Ajah,Ajah,False,False,False,False,False,0,5000000.0
10258,3420035,2026-04-16 00:43:44.753748+00:00,4,4,bungalow,Ajah,Sangotedo,False,False,True,True,True,0,6000000.0
10259,3420030,2026-04-16 00:43:44.755373+00:00,4,4,flat,Lekki,Orchid,False,True,True,True,True,0,19000000.0
10260,3420013,2026-04-16 00:43:44.756938+00:00,2,2,flat,Lekki,Orchid,False,False,True,True,True,0,8000000.0
10261,3420003,2026-04-16 00:43:44.761729+00:00,2,2,flat,Lekki,Ikate,False,True,True,True,True,2,12000000.0
10262,3420002,2026-04-16 00:43:44.763445+00:00,1,1,flat,Lekki,View Estate,False,False,True,True,False,0,2000000.0
10263,3419385,2026-04-16 00:44:33.057307+00:00,2,2,flat,Ajah,Ilaje,False,False,False,False,True,0,3000000.0
10264,3420001,2026-04-16 00:43:44.765032+00:00,4,4,Maisonette,Victoria Island (VI),Oniru,True,False,False,True,True,0,25000000.0
10265,3420000,2026-04-16 00:43:44.767047+00:00,3,3,terrace,Ajah,Lbs,False,False,False,False,False,0,5000000.0
10266,3419983,2026-04-16 00:43:44.771240+00:00,5,5,penthouse,Lekki,Ikate,True,False,True,True,False,0,35000000.0
10267,3419982,2026-04-16 00:43:44.773482+00:00,2,2,flat,Lekki,Ikate,False,False,False,False,True,1,10000000.0
10268,3419936,2026-04-16 00:43:44.775556+00:00,1,1,flat,Victoria Island (VI),Victoria Island,False,True,False,True,False,1,12000000.0
10269,3419931,2026-04-16 00:43:44.777787+00:00,1,1,mini-flat,Ajah,Badore,False,False,False,True,False,0,1500000.0
10270,2556955,2026-04-16 00:44:01.139160+00:00,2,2,flat,Lekki,Lekki Phase 1,False,True,True,True,True,0,13000000.0
10271,3419917,2026-04-16 00:44:01.140776+00:00,1,1,mini-flat,Ajah,Badore,False,False,False,True,False,0,1700000.0
10272,3419841,2026-04-16 00:44:01.142342+00:00,2,2,flat,Lekki,Ikate,False,True,True,True,True,0,10000000.0
10273,3419840,2026-04-16 00:44:01.143880+00:00,1,1,mini-flat,Lekki,Lekki Phase 2,False,False,True,True,True,0,5000000.0
10274,3419835,2026-04-16 00:44:01.145418+00:00,2,2,flat,Lekki,Ikate,False,True,False,False,True,0,10000000.0
10275,3419813,2026-04-16 00:44:01.148512+00:00,1,1,mini-flat,Ajah,Badore,False,False,False,False,True,0,1800000.0
10276,3419767,2026-04-16 00:44:01.154041+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,True,0,14000000.0
10277,3419734,2026-04-16 00:44:01.157773+00:00,1,1,studio,Ikorodu,Maya,False,False,False,True,False,0,350000.0
10278,3419692,2026-04-16 00:44:01.161151+00:00,3,3,bungalow,Ibeju Lekki,Lakowe,True,False,True,True,True,0,4500000.0
10279,3419688,2026-04-16 00:44:01.163990+00:00,5,5,duplex,Lekki,Lekki Phase 1,True,False,True,True,False,0,35000000.0
10280,3419687,2026-04-16 00:44:01.165926+00:00,2,3,flat,Lekki,Lekki Phase 1,False,True,True,True,False,1,15000000.0
10281,3419686,2026-04-16 00:44:01.167566+00:00,3,3,flat,Victoria Island (VI),Victoria Island,False,False,False,True,True,1,25000000.0
